,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level
101,ICRB,0.6081,10.0,2,11,4,0.9,5
102,STO,0.665,8.0,2,11,4,0.9,5
103,Rand,0.8749,17.0,2,11,4,0.9,5
104,CPF,0.5484,10.0,2,12,4,0.9,7.5
105,ICRB,0.571,13.0,2,12,4,0.9,7.5
106,STO,0.714,8.0,2,12,4,0.9,7.5
107,Rand,0.7745,17.0,2,12,4,0.9,7.5
108,CPF,0.5811,9.0,2,13,4,0.9,10.5
109,ICRB,0.5854,10.0,2,13,4,0.9,10.5
110,STO,0.6983,6.0,2,13,4,0.9,10.5
111,Rand,0.6077,13.0,2,13,4,0.9,10.5
112,CPF,0.8492,15.0,3,0,2,0.9,3
113,ICRB,0.7844,28.0,3,0,2,0.9,3
114,STO,0.938,13.0,3,0,2,0.9,3
115,Rand,0.8983,38.0,3,0,2,0.9,3
116,CPF,0.7741,16.0,3,1,3,0.9,3
117,ICRB,0.7491,32.0,3,1,3,0.9,3
118,STO,0.8988,12.0,3,1,3,0.9,3
119,Rand,1.0,41.0,3,1,3,0.9,3
120,CPF,0.7273,16.0,3,2,4,0.9,3
121,ICRB,0.8308,21.0,3,2,4,0.9,3
122,STO,0.8798,14.0,3,2,4,0.9,3
123,Rand,1.0,36.0,3,2,4,0.9,3
124,CPF,0.7583,16.0,3,3,5,0.9,3
125,ICRB,0.6388,23.0,3,3,5,0.9,3
126,STO,0.8868,14.0,3,3,5,0.9,3
127,Rand,0.9559,38.0,3,3,5,0.9,3
128,CPF,0.8323,17.0,3,4,6,0.9,3
129,ICRB,0.8163,23.0,3,4,6,0.9,3
130,STO,0.8497,14.0,3,4,6,0.9,3
131,Rand,0.9473,28.0,3,4,6,0.9,3
132,CPF,0.693,18.0,3,5,4,1.0,3
133,ICRB,0.6017,17.0,3,5,4,1.0,3
134,STO,0.8892,15.0,3,5,4,1.0,3
135,Rand,0.9219,29.0,3,5,4,1.0,3
136,CPF,0.7287,14.0,3,6,4,0.95,3
