Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
Rand,0.5382,0.3329,0.8039,0.6111,2,7,4,0.85,3,201.7085088582236,297.1721570587257
CPF,0.4769,0.291,0.7141,0.5,2,8,4,0.8,3,208.20020752494196,310.36332004540725
ICRB,0.4794,0.2864,0.7581,0.3333,2,8,4,0.8,3,208.20020752494196,310.36332004540725
STO,0.4866,0.2833,0.7886,0.0,2,8,4,0.8,3,208.20020752494196,310.36332004540725
Rand,0.4731,0.2718,0.9085,0.7222,2,8,4,0.8,3,208.20020752494196,310.36332004540725
CPF,0.4889,0.2859,0.6625,0.6111,2,8,4,0.8,3,204.921310461908,315.507568444188
ICRB,0.4585,0.2725,0.786,0.3889,2,8,4,0.8,3,204.921310461908,315.507568444188
STO,0.4629,0.2608,0.9049,0.2222,2,8,4,0.8,3,204.921310461908,315.507568444188
Rand,0.4649,0.2569,0.9463,0.6667,2,8,4,0.8,3,204.921310461908,315.507568444188
CPF,0.504,0.3068,0.8203,0.6111,2,8,4,0.8,3,197.7726705794135,297.6412463258784
ICRB,0.5119,0.3148,0.7495,0.5,2,8,4,0.8,3,197.7726705794135,297.6412463258784
STO,0.5211,0.2994,0.8895,0.2778,2,8,4,0.8,3,197.7726705794135,297.6412463258784
Rand,0.5149,0.3048,0.8387,0.7222,2,8,4,0.8,3,197.7726705794135,297.6412463258784
CPF,0.4139,0.2528,0.7629,0.5,2,9,4,0.75,3,225.0094190784697,346.39715601484534
ICRB,0.4219,0.255,0.7403,0.3889,2,9,4,0.75,3,225.0094190784697,346.39715601484534
STO,0.4238,0.2453,0.8425,0.1111,2,9,4,0.75,3,225.0094190784697,346.39715601484534
Rand,0.4242,0.2418,0.8813,0.8889,2,9,4,0.75,3,225.0094190784697,346.39715601484534
CPF,0.4199,0.2581,0.7779,0.6667,2,9,4,0.75,3,244.36715689437625,365.29437994195075
ICRB,0.413,0.2618,0.7391,0.4444,2,9,4,0.75,3,244.36715689437625,365.29437994195075
STO,0.4214,0.2478,0.8944,0.1111,2,9,4,0.75,3,244.36715689437625,365.29437994195075
Rand,0.4228,0.2505,0.8626,0.7222,2,9,4,0.75,3,244.36715689437625,365.29437994195075
CPF,0.4797,0.2961,0.7863,0.6111,2,9,4,0.75,3,206.16967983410146,311.4178991365161
ICRB,0.48,0.2904,0.8402,0.3889,2,9,4,0.75,3,206.16967983410146,311.4178991365161
STO,0.4809,0.2874,0.8688,0.1667,2,9,4,0.75,3,206.16967983410146,311.4178991365161
Rand,0.4753,0.2805,0.9383,0.8333,2,9,4,0.75,3,206.16967983410146,311.4178991365161
CPF,0.5353,0.3221,0.7791,0.5625,2,10,4,0.9,1.5,193.73175604111498,280.66167636772275
ICRB,0.5228,0.3206,0.7931,0.6875,2,10,4,0.9,1.5,193.73175604111498,280.66167636772275
STO,0.5328,0.3123,0.873,0.125,2,10,4,0.9,1.5,193.73175604111498,280.66167636772275
Rand,0.5294,0.3102,0.8949,0.6875,2,10,4,0.9,1.5,193.73175604111498,280.66167636772275
CPF,0.4653,0.2776,0.7902,0.6875,2,10,4,0.9,1.5,219.38260939945235,322.0304559272746
ICRB,0.4622,0.2772,0.7946,0.75,2,10,4,0.9,1.5,219.38260939945235,322.0304559272746
STO,0.4668,0.2652,0.9273,0.125,2,10,4,0.9,1.5,219.38260939945235,322.0304559272746
Rand,0.4538,0.2624,0.9602,0.8125,2,10,4,0.9,1.5,219.38260939945235,322.0304559272746
CPF,0.5587,0.3483,0.7883,0.5625,2,10,4,0.9,1.5,184.8703531707066,263.81152340623896
ICRB,0.541,0.3463,0.8059,0.625,2,10,4,0.9,1.5,184.8703531707066,263.81152340623896
STO,0.56,0.3449,0.8187,0.125,2,10,4,0.9,1.5,184.8703531707066,263.81152340623896
Rand,0.5457,0.3424,0.8421,0.875,2,10,4,0.9,1.5,184.8703531707066,263.81152340623896
CPF,0.5388,0.3442,0.7398,0.35,2,11,4,0.9,5,196.7769053269556,280.16593152486246
ICRB,0.5495,0.3598,0.6053,0.35,2,11,4,0.9,5,196.7769053269556,280.16593152486246
STO,0.5586,0.3376,0.8006,0.05,2,11,4,0.9,5,196.7769053269556,280.16593152486246
Rand,0.5432,0.3259,0.9141,0.65,2,11,4,0.9,5,196.7769053269556,280.16593152486246
CPF,0.5449,0.328,0.7307,0.4,2,11,4,0.9,5,181.13793496051122,269.51762382082086
ICRB,0.5532,0.3368,0.6583,0.4,2,11,4,0.9,5,181.13793496051122,269.51762382082086
STO,0.5575,0.3192,0.8073,0.1,2,11,4,0.9,5,181.13793496051122,269.51762382082086
Rand,0.5461,0.2997,0.9936,0.7,2,11,4,0.9,5,181.13793496051122,269.51762382082086
CPF,0.5313,0.333,0.7128,0.4,2,11,4,0.9,5,190.20354439374447,284.41900090412423
ICRB,0.5322,0.3501,0.5792,0.3,2,11,4,0.9,5,190.20354439374447,284.41900090412423
STO,0.5507,0.3404,0.6535,0.05,2,11,4,0.9,5,190.20354439374447,284.41900090412423
Rand,0.5287,0.316,0.8601,0.65,2,11,4,0.9,5,190.20354439374447,284.41900090412423
CPF,0.5241,0.3442,0.4443,0.4,2,12,4,0.9,7.5,201.76324370285118,288.80757188089103
ICRB,0.4915,0.3105,0.7433,0.35,2,12,4,0.9,7.5,201.76324370285118,288.80757188089103
STO,0.504,0.3116,0.7333,0.15,2,12,4,0.9,7.5,201.76324370285118,288.80757188089103
Rand,0.4969,0.3085,0.7634,0.6,2,12,4,0.9,7.5,201.76324370285118,288.80757188089103
CPF,0.5116,0.3352,0.7644,0.45,2,12,4,0.9,7.5,211.49938757809048,297.2289018932052
ICRB,0.5186,0.3526,0.6051,0.3,2,12,4,0.9,7.5,211.49938757809048,297.2289018932052
STO,0.5243,0.3293,0.8224,0.1,2,12,4,0.9,7.5,211.49938757809048,297.2289018932052
Rand,0.5265,0.3273,0.8424,0.6,2,12,4,0.9,7.5,211.49938757809048,297.2289018932052
CPF,0.5315,0.325,0.6728,0.55,2,12,4,0.9,7.5,179.1565336890805,266.8239621938819
ICRB,0.5166,0.3179,0.7342,0.35,2,12,4,0.9,7.5,179.1565336890805,266.8239621938819
STO,0.5344,0.3266,0.6602,0.1,2,12,4,0.9,7.5,179.1565336890805,266.8239621938819
Rand,0.5115,0.2901,1.0,0.65,2,12,4,0.9,7.5,179.1565336890805,266.8239621938819
CPF,0.5591,0.371,0.6721,0.1905,2,13,4,0.9,10.5,186.05048530285288,267.7794923325932
ICRB,0.5587,0.3684,0.6934,0.1905,2,13,4,0.9,10.5,186.05048530285288,267.7794923325932
STO,0.5983,0.3862,0.5565,0.0476,2,13,4,0.9,10.5,186.05048530285288,267.7794923325932
Rand,0.57,0.3697,0.6826,0.2857,2,13,4,0.9,10.5,186.05048530285288,267.7794923325932
CPF,0.5429,0.3505,0.591,0.4762,2,13,4,0.9,10.5,172.74113578728148,258.05930471367697
ICRB,0.5317,0.33,0.7532,0.2381,2,13,4,0.9,10.5,172.74113578728148,258.05930471367697
STO,0.5761,0.3506,0.59,0.0952,2,13,4,0.9,10.5,172.74113578728148,258.05930471367697
Rand,0.5561,0.3218,0.8242,0.5238,2,13,4,0.9,10.5,172.74113578728148,258.05930471367697
CPF,0.5363,0.3576,0.5493,0.3333,2,13,4,0.9,10.5,184.292171275293,277.0856422127364
ICRB,0.5398,0.342,0.6653,0.2381,2,13,4,0.9,10.5,184.292171275293,277.0856422127364
STO,0.569,0.3524,0.5872,0.1429,2,13,4,0.9,10.5,184.292171275293,277.0856422127364
Rand,0.541,0.3313,0.7506,0.5238,2,13,4,0.9,10.5,184.292171275293,277.0856422127364
CPF,0.9422,0.652,0.706,0.3667,3,0,2,0.9,3,369.2325975639426,502.28529394240576
ICRB,0.9339,0.6671,0.6274,0.4333,3,0,2,0.9,3,369.2325975639426,502.28529394240576
STO,0.9381,0.6179,0.8984,0.0667,3,0,2,0.9,3,369.2325975639426,502.28529394240576
Rand,0.9346,0.6127,0.9297,0.8,3,0,2,0.9,3,369.2325975639426,502.28529394240576
CPF,0.9272,0.6243,0.8335,0.4,3,0,2,0.9,3,364.6093864309061,491.68984957999106
ICRB,0.9129,0.6348,0.7727,0.5333,3,0,2,0.9,3,364.6093864309061,491.68984957999106
STO,0.9457,0.6162,0.8825,0.0333,3,0,2,0.9,3,364.6093864309061,491.68984957999106
Rand,0.9356,0.6064,0.9428,0.7667,3,0,2,0.9,3,364.6093864309061,491.68984957999106
CPF,0.9171,0.6305,0.7301,0.5,3,0,2,0.9,3,364.1350249698617,508.93945219888167
ICRB,0.9411,0.6489,0.6385,0.5667,3,0,2,0.9,3,364.1350249698617,508.93945219888167
STO,0.9194,0.5946,0.9262,0.0667,3,0,2,0.9,3,364.1350249698617,508.93945219888167
Rand,0.9202,0.5892,0.9579,0.8333,3,0,2,0.9,3,364.1350249698617,508.93945219888167
CPF,0.7371,0.4942,0.7627,0.4,3,1,3,0.9,3,285.5617054223534,417.55816984278164
ICRB,0.7576,0.5215,0.6092,0.4333,3,1,3,0.9,3,285.5617054223534,417.55816984278164
STO,0.7366,0.475,0.8808,0.1,3,1,3,0.9,3,285.5617054223534,417.55816984278164
Rand,0.7462,0.4819,0.8372,0.8,3,1,3,0.9,3,285.5617054223534,417.55816984278164
CPF,0.8488,0.5882,0.7831,0.4333,3,1,3,0.9,3,268.02057876222506,363.55559491514344
ICRB,0.8371,0.6024,0.6981,0.4667,3,1,3,0.9,3,268.02057876222506,363.55559491514344
STO,0.8579,0.5831,0.8143,0.0333,3,1,3,0.9,3,268.02057876222506,363.55559491514344
Rand,0.837,0.5607,0.9588,0.9333,3,1,3,0.9,3,268.02057876222506,363.55559491514344
CPF,0.8443,0.5957,0.7858,0.4333,3,1,3,0.9,3,269.20879225859227,351.35390029574626
ICRB,0.8615,0.6089,0.698,0.5,3,1,3,0.9,3,269.20879225859227,351.35390029574626
STO,0.8747,0.58,0.8956,0.1,3,1,3,0.9,3,269.20879225859227,351.35390029574626
Rand,0.8619,0.5717,0.9567,0.8,3,1,3,0.9,3,269.20879225859227,351.35390029574626
CPF,0.6643,0.466,0.7343,0.3667,3,2,4,0.9,3,250.82856882966402,346.44429317266577
ICRB,0.6634,0.4779,0.6503,0.4667,3,2,4,0.9,3,250.82856882966402,346.44429317266577
STO,0.6495,0.4375,0.9529,0.1,3,2,4,0.9,3,250.82856882966402,346.44429317266577
Rand,0.6499,0.4403,0.93,0.9,3,2,4,0.9,3,250.82856882966402,346.44429317266577
CPF,0.7341,0.5071,0.729,0.3,3,2,4,0.9,3,216.08170251665442,298.11649086835394
ICRB,0.7316,0.5256,0.6107,0.2667,3,2,4,0.9,3,216.08170251665442,298.11649086835394
STO,0.7299,0.4859,0.8761,0.0667,3,2,4,0.9,3,216.08170251665442,298.11649086835394
Rand,0.7194,0.4728,0.9732,0.6333,3,2,4,0.9,3,216.08170251665442,298.11649086835394
CPF,0.7687,0.5281,0.7517,0.3667,3,2,4,0.9,3,223.1347209088236,306.2689166172654
ICRB,0.7392,0.5248,0.7735,0.4333,3,2,4,0.9,3,223.1347209088236,306.2689166172654
STO,0.7649,0.5105,0.8699,0.1,3,2,4,0.9,3,223.1347209088236,306.2689166172654
Rand,0.7557,0.4993,0.9495,0.7333,3,2,4,0.9,3,223.1347209088236,306.2689166172654
CPF,0.6593,0.4714,0.7735,0.3333,3,3,5,0.9,3,210.6283642537748,270.1597654657214
ICRB,0.6545,0.4811,0.6869,0.3333,3,3,5,0.9,3,210.6283642537748,270.1597654657214
STO,0.6663,0.4545,0.9343,0.1,3,3,5,0.9,3,210.6283642537748,270.1597654657214
Rand,0.6563,0.4544,0.9345,0.7333,3,3,5,0.9,3,210.6283642537748,270.1597654657214
CPF,0.6622,0.4643,0.7215,0.4,3,3,5,0.9,3,202.314023828477,272.1078426282803
ICRB,0.6625,0.4682,0.6914,0.4333,3,3,5,0.9,3,202.314023828477,272.1078426282803
STO,0.6701,0.4449,0.8794,0.0333,3,3,5,0.9,3,202.314023828477,272.1078426282803
Rand,0.6594,0.4352,0.9634,0.6667,3,3,5,0.9,3,202.314023828477,272.1078426282803
CPF,0.6792,0.4805,0.6013,0.3667,3,3,5,0.9,3,198.41958121180346,266.96768817878643
ICRB,0.653,0.4699,0.6804,0.4,3,3,5,0.9,3,198.41958121180346,266.96768817878643
STO,0.6628,0.4469,0.8645,0.0333,3,3,5,0.9,3,198.41958121180346,266.96768817878643
Rand,0.6445,0.4314,1.0,0.7667,3,3,5,0.9,3,198.41958121180346,266.96768817878643
CPF,0.5178,0.3562,0.756,0.2333,3,4,6,0.9,3,207.40479803940028,275.43059567580536
ICRB,0.5294,0.3738,0.5775,0.2667,3,4,6,0.9,3,207.40479803940028,275.43059567580536
STO,0.5261,0.348,0.8457,0.1667,3,4,6,0.9,3,207.40479803940028,275.43059567580536
Rand,0.5108,0.3348,1.0,0.8,3,4,6,0.9,3,207.40479803940028,275.43059567580536
CPF,0.4924,0.3495,0.7913,0.2333,3,4,6,0.9,3,226.0101440708164,295.3079826970494
ICRB,0.5225,0.3717,0.5491,0.2667,3,4,6,0.9,3,226.0101440708164,295.3079826970494
STO,0.5125,0.3424,0.8754,0.1,3,4,6,0.9,3,226.0101440708164,295.3079826970494
Rand,0.509,0.3414,0.8867,0.8667,3,4,6,0.9,3,226.0101440708164,295.3079826970494
CPF,0.5124,0.3569,0.8544,0.5667,3,4,6,0.9,3,218.90667849583468,285.8166927478155
ICRB,0.5174,0.3644,0.7694,0.4667,3,4,6,0.9,3,218.90667849583468,285.8166927478155
STO,0.5338,0.3592,0.8277,0.0667,3,4,6,0.9,3,218.90667849583468,285.8166927478155
Rand,0.51,0.3448,1.0,0.8,3,4,6,0.9,3,218.90667849583468,285.8166927478155
CPF,0.7932,0.5695,0.6757,0.2667,3,5,4,1.0,3,220.8659164536328,294.5154991944353
ICRB,0.7501,0.5505,0.8023,0.4333,3,5,4,1.0,3,220.8659164536328,294.5154991944353
STO,0.7811,0.5355,0.9088,0.1333,3,5,4,1.0,3,220.8659164536328,294.5154991944353
Rand,0.7646,0.5233,1.0,0.8,3,5,4,1.0,3,220.8659164536328,294.5154991944353
CPF,0.7182,0.4907,0.8288,0.2333,3,5,4,1.0,3,218.64370692830715,302.24663808069346
ICRB,0.7453,0.5321,0.5606,0.3333,3,5,4,1.0,3,218.64370692830715,302.24663808069346
STO,0.7397,0.4907,0.8286,0.1,3,5,4,1.0,3,218.64370692830715,302.24663808069346
Rand,0.718,0.4795,0.9093,0.6333,3,5,4,1.0,3,218.64370692830715,302.24663808069346
CPF,0.7782,0.5314,0.8015,0.3667,3,5,4,1.0,3,218.33157782794066,291.06739139112926
ICRB,0.7862,0.5519,0.6605,0.3667,3,5,4,1.0,3,218.33157782794066,291.06739139112926
STO,0.7992,0.5164,0.912,0.0333,3,5,4,1.0,3,218.33157782794066,291.06739139112926
Rand,0.7836,0.5145,0.9265,0.8,3,5,4,1.0,3,218.33157782794066,291.06739139112926
CPF,0.7871,0.5648,0.6322,0.1667,3,6,4,0.95,3,208.32445235141319,285.9972147326865
ICRB,0.7634,0.5593,0.6649,0.4333,3,6,4,0.95,3,208.32445235141319,285.9972147326865
STO,0.7749,0.5276,0.8664,0.1,3,6,4,0.95,3,208.32445235141319,285.9972147326865
Rand,0.7684,0.5232,0.896,0.6,3,6,4,0.95,3,208.32445235141319,285.9972147326865
CPF,0.7542,0.5219,0.8277,0.4,3,6,4,0.95,3,216.69953375606332,285.89746899973386
ICRB,0.7563,0.5275,0.7851,0.3667,3,6,4,0.95,3,216.69953375606332,285.89746899973386
STO,0.7839,0.5182,0.8553,0.0667,3,6,4,0.95,3,216.69953375606332,285.89746899973386
Rand,0.7677,0.5046,0.963,0.7,3,6,4,0.95,3,216.69953375606332,285.89746899973386
CPF,0.7595,0.53,0.7375,0.3667,3,6,4,0.95,3,216.504353543917,290.4801545201632
ICRB,0.7423,0.5328,0.7186,0.3667,3,6,4,0.95,3,216.504353543917,290.4801545201632
STO,0.7727,0.5188,0.8168,0.0667,3,6,4,0.95,3,216.504353543917,290.4801545201632
Rand,0.745,0.5003,0.9553,0.8667,3,6,4,0.95,3,216.504353543917,290.4801545201632
CPF,0.6837,0.469,0.826,0.2333,3,7,4,0.85,3,246.29850699996499,322.34241935695684
ICRB,0.6833,0.4768,0.7598,0.3333,3,7,4,0.85,3,246.29850699996499,322.34241935695684
STO,0.714,0.4807,0.7276,0.0667,3,7,4,0.85,3,246.29850699996499,322.34241935695684
Rand,0.6871,0.4555,0.9468,0.7,3,7,4,0.85,3,246.29850699996499,322.34241935695684
CPF,0.6903,0.4798,0.7524,0.4333,3,7,4,0.85,3,244.4129516854222,321.6752770241435
ICRB,0.6939,0.4917,0.658,0.5333,3,7,4,0.85,3,244.4129516854222,321.6752770241435
STO,0.7055,0.473,0.8091,0.1333,3,7,4,0.85,3,244.4129516854222,321.6752770241435
Rand,0.6733,0.4513,1.0,0.7333,3,7,4,0.85,3,244.4129516854222,321.6752770241435
CPF,0.6063,0.4251,0.6728,0.4,3,7,4,0.85,3,251.74535367698104,355.52287522366845
ICRB,0.6128,0.4258,0.6675,0.4,3,7,4,0.85,3,251.74535367698104,355.52287522366845
STO,0.6085,0.3977,0.8858,0.1,3,7,4,0.85,3,251.74535367698104,355.52287522366845
Rand,0.6002,0.389,0.9604,0.6333,3,7,4,0.85,3,251.74535367698104,355.52287522366845
CPF,0.5638,0.3972,0.7899,0.3667,3,8,4,0.8,3,295.1032528994556,398.0622649739699
ICRB,0.571,0.4044,0.7254,0.5667,3,8,4,0.8,3,295.1032528994556,398.0622649739699
STO,0.5764,0.3837,0.9191,0.0667,3,8,4,0.8,3,295.1032528994556,398.0622649739699
Rand,0.5813,0.3847,0.9091,0.8333,3,8,4,0.8,3,295.1032528994556,398.0622649739699
CPF,0.6297,0.4328,0.7557,0.2333,3,8,4,0.8,3,252.40756448724744,330.1457088139057
ICRB,0.6079,0.4328,0.7554,0.3,3,8,4,0.8,3,252.40756448724744,330.1457088139057
STO,0.6531,0.4304,0.778,0.1,3,8,4,0.8,3,252.40756448724744,330.1457088139057
Rand,0.6374,0.4116,0.9623,0.8,3,8,4,0.8,3,252.40756448724744,330.1457088139057
CPF,0.6328,0.4514,0.7762,0.4667,3,8,4,0.8,3,268.60194368196983,350.8987724013774
ICRB,0.6324,0.4627,0.6774,0.3333,3,8,4,0.8,3,268.60194368196983,350.8987724013774
STO,0.6472,0.4484,0.8031,0.1,3,8,4,0.8,3,268.60194368196983,350.8987724013774
Rand,0.6275,0.4277,1.0,0.8333,3,8,4,0.8,3,268.60194368196983,350.8987724013774
CPF,0.5629,0.375,0.8498,0.4667,3,9,4,0.75,3,270.0599713039387,371.9952951530904
ICRB,0.5757,0.3907,0.7088,0.5,3,9,4,0.75,3,270.0599713039387,371.9952951530904
STO,0.5891,0.3779,0.8228,0.0667,3,9,4,0.75,3,270.0599713039387,371.9952951530904
Rand,0.574,0.3644,0.9515,0.8333,3,9,4,0.75,3,270.0599713039387,371.9952951530904
CPF,0.6558,0.4622,0.7373,0.3333,3,9,4,0.75,3,251.16932260152564,324.57161182921607
ICRB,0.6394,0.4663,0.7004,0.4,3,9,4,0.75,3,251.16932260152564,324.57161182921607
STO,0.6582,0.4506,0.8442,0.0667,3,9,4,0.75,3,251.16932260152564,324.57161182921607
Rand,0.6412,0.4359,0.988,0.7333,3,9,4,0.75,3,251.16932260152564,324.57161182921607
CPF,0.7333,0.5019,0.7231,0.3,3,9,4,0.75,3,244.58366634021175,312.7357318919318
ICRB,0.7004,0.4925,0.806,0.3667,3,9,4,0.75,3,244.58366634021175,312.7357318919318
STO,0.7358,0.4863,0.8619,0.0667,3,9,4,0.75,3,244.58366634021175,312.7357318919318
Rand,0.7266,0.474,0.9772,0.7667,3,9,4,0.75,3,244.58366634021175,312.7357318919318
CPF,0.7019,0.483,0.7939,0.3704,3,10,4,0.9,1.5,254.17637718721565,328.839951034807
ICRB,0.6917,0.4929,0.7094,0.4815,3,10,4,0.9,1.5,254.17637718721565,328.839951034807
STO,0.6916,0.4662,0.945,0.1481,3,10,4,0.9,1.5,254.17637718721565,328.839951034807
Rand,0.7037,0.474,0.8733,0.7778,3,10,4,0.9,1.5,254.17637718721565,328.839951034807
CPF,0.8037,0.5527,0.7772,0.4815,3,10,4,0.9,1.5,220.26339349011067,281.44849225225556
ICRB,0.7973,0.5678,0.6613,0.5556,3,10,4,0.9,1.5,220.26339349011067,281.44849225225556
STO,0.8056,0.5387,0.8915,0.1852,3,10,4,0.9,1.5,220.26339349011067,281.44849225225556
Rand,0.8022,0.5373,0.9028,0.9259,3,10,4,0.9,1.5,220.26339349011067,281.44849225225556
CPF,0.7725,0.5263,0.8114,0.3704,3,10,4,0.9,1.5,206.32600720592126,280.9991926816691
ICRB,0.765,0.5294,0.7901,0.5185,3,10,4,0.9,1.5,206.32600720592126,280.9991926816691
STO,0.7722,0.508,0.9401,0.0741,3,10,4,0.9,1.5,206.32600720592126,280.9991926816691
Rand,0.7641,0.4999,1.0,0.8148,3,10,4,0.9,1.5,206.32600720592126,280.9991926816691
CPF,0.7607,0.5511,0.6526,0.2188,3,11,4,0.9,5,226.18511449535708,303.9702221215531
ICRB,0.7727,0.569,0.5407,0.2812,3,11,4,0.9,5,226.18511449535708,303.9702221215531
STO,0.7744,0.5266,0.8185,0.0312,3,11,4,0.9,5,226.18511449535708,303.9702221215531
Rand,0.7579,0.5096,0.9427,0.625,3,11,4,0.9,5,226.18511449535708,303.9702221215531
CPF,0.684,0.4828,0.811,0.2188,3,11,4,0.9,5,239.35593254565256,309.24739392003994
ICRB,0.662,0.489,0.757,0.375,3,11,4,0.9,5,239.35593254565256,309.24739392003994
STO,0.6884,0.4714,0.9139,0.0312,3,11,4,0.9,5,239.35593254565256,309.24739392003994
Rand,0.6838,0.4671,0.9535,0.6562,3,11,4,0.9,5,239.35593254565256,309.24739392003994
CPF,0.6725,0.463,0.651,0.3438,3,11,4,0.9,5,249.38825278259625,331.0563008666945
ICRB,0.6737,0.4712,0.5863,0.3438,3,11,4,0.9,5,249.38825278259625,331.0563008666945
STO,0.6637,0.4401,0.8432,0.0938,3,11,4,0.9,5,249.38825278259625,331.0563008666945
Rand,0.6624,0.4393,0.8503,0.6562,3,11,4,0.9,5,249.38825278259625,331.0563008666945
CPF,0.6361,0.4546,0.6226,0.2647,3,12,4,0.9,7.5,259.7441424303285,352.55425556214516
ICRB,0.6294,0.4554,0.6166,0.2941,3,12,4,0.9,7.5,259.7441424303285,352.55425556214516
STO,0.6533,0.4389,0.7451,0.0882,3,12,4,0.9,7.5,259.7441424303285,352.55425556214516
Rand,0.6297,0.4149,0.9493,0.5588,3,12,4,0.9,7.5,259.7441424303285,352.55425556214516
CPF,0.7405,0.5411,0.5339,0.3235,3,12,4,0.9,7.5,227.5984785216577,306.3776993963152
ICRB,0.7315,0.5303,0.6037,0.3235,3,12,4,0.9,7.5,227.5984785216577,306.3776993963152
STO,0.748,0.5094,0.747,0.1176,3,12,4,0.9,7.5,227.5984785216577,306.3776993963152
Rand,0.7243,0.483,0.9456,0.7059,3,12,4,0.9,7.5,227.5984785216577,306.3776993963152
CPF,0.7028,0.5127,0.7166,0.3235,3,12,4,0.9,7.5,223.72892694659296,301.89414326111813
ICRB,0.7145,0.5325,0.5837,0.2353,3,12,4,0.9,7.5,223.72892694659296,301.89414326111813
STO,0.7302,0.5008,0.8017,0.0588,3,12,4,0.9,7.5,223.72892694659296,301.89414326111813
Rand,0.7185,0.4882,0.8964,0.6471,3,12,4,0.9,7.5,223.72892694659296,301.89414326111813
CPF,0.7767,0.5482,0.5858,0.4,3,13,4,0.9,10.5,205.4296904206825,276.7418234065982
ICRB,0.7702,0.5541,0.5487,0.3714,3,13,4,0.9,10.5,205.4296904206825,276.7418234065982
STO,0.7681,0.5181,0.7874,0.0857,3,13,4,0.9,10.5,205.4296904206825,276.7418234065982
Rand,0.7513,0.5082,0.8587,0.6571,3,13,4,0.9,10.5,205.4296904206825,276.7418234065982
CPF,0.6579,0.4881,0.585,0.3429,3,13,4,0.9,10.5,252.66983399223494,349.49286815598043
ICRB,0.6699,0.4807,0.6346,0.2571,3,13,4,0.9,10.5,252.66983399223494,349.49286815598043
STO,0.6696,0.4721,0.6932,0.1429,3,13,4,0.9,10.5,252.66983399223494,349.49286815598043
Rand,0.6705,0.4612,0.7716,0.6286,3,13,4,0.9,10.5,252.66983399223494,349.49286815598043
CPF,0.7565,0.5589,0.703,0.1429,3,13,4,0.9,10.5,223.83317968993697,287.8962270290686
ICRB,0.7701,0.5671,0.6421,0.3143,3,13,4,0.9,10.5,223.83317968993697,287.8962270290686
STO,0.7688,0.5473,0.7917,0.0571,3,13,4,0.9,10.5,223.83317968993697,287.8962270290686
Rand,0.7762,0.5357,0.8849,0.5714,3,13,4,0.9,10.5,223.83317968993697,287.8962270290686
CPF,0.7475,0.5365,0.6958,0.2143,4,0,2,0.9,3,205.1006126257108,272.5711864477622
ICRB,0.7372,0.5545,0.575,0.6429,4,0,2,0.9,3,205.1006126257108,272.5711864477622
STO,0.7583,0.5219,0.8004,0.0714,4,0,2,0.9,3,205.1006126257108,272.5711864477622
Rand,0.7528,0.5108,0.8839,0.7857,4,0,2,0.9,3,205.1006126257108,272.5711864477622
CPF,0.6716,0.4284,0.8012,0.5,4,0,2,0.9,3,194.170392864317,274.8415137571146
ICRB,0.6606,0.4414,0.7066,0.7143,4,0,2,0.9,3,194.170392864317,274.8415137571146
STO,0.688,0.4323,0.7724,0.1429,4,0,2,0.9,3,194.170392864317,274.8415137571146
Rand,0.6585,0.4074,0.9664,0.8571,4,0,2,0.9,3,194.170392864317,274.8415137571146
CPF,0.7628,0.5662,0.6751,0.4286,4,0,2,0.9,3,205.24668979457175,269.26646200415206
ICRB,0.7765,0.5944,0.4914,0.6429,4,0,2,0.9,3,205.24668979457175,269.26646200415206
STO,0.7632,0.5454,0.8232,0.1429,4,0,2,0.9,3,205.24668979457175,269.26646200415206
Rand,0.7646,0.55,0.79,0.5714,4,0,2,0.9,3,205.24668979457175,269.26646200415206
CPF,0.6159,0.4394,0.632,0.6429,4,1,3,0.9,3,154.0643372292937,214.91475721605866
ICRB,0.6004,0.4328,0.6806,0.5,4,1,3,0.9,3,154.0643372292937,214.91475721605866
STO,0.6092,0.4133,0.832,0.2143,4,1,3,0.9,3,154.0643372292937,214.91475721605866
Rand,0.6013,0.4085,0.8718,0.7857,4,1,3,0.9,3,154.0643372292937,214.91475721605866
CPF,0.4798,0.3533,0.5275,0.4286,4,1,3,0.9,3,230.86513376467818,307.09887522158743
ICRB,0.4752,0.3466,0.5965,0.5,4,1,3,0.9,3,230.86513376467818,307.09887522158743
STO,0.4816,0.3424,0.6411,0.0714,4,1,3,0.9,3,230.86513376467818,307.09887522158743
Rand,0.4665,0.3254,0.8319,0.7143,4,1,3,0.9,3,230.86513376467818,307.09887522158743
CPF,0.6044,0.4257,0.6557,0.4286,4,1,3,0.9,3,164.706618576641,228.68059704052118
ICRB,0.5799,0.4246,0.6644,0.6429,4,1,3,0.9,3,164.706618576641,228.68059704052118
STO,0.6085,0.4032,0.8359,0.0714,4,1,3,0.9,3,164.706618576641,228.68059704052118
Rand,0.5995,0.4049,0.8218,0.5714,4,1,3,0.9,3,164.706618576641,228.68059704052118
CPF,0.3739,0.2721,0.6577,0.6429,4,2,4,0.9,3,205.5705684970419,275.01949375628715
ICRB,0.3688,0.2685,0.7064,0.6429,4,2,4,0.9,3,205.5705684970419,275.01949375628715
STO,0.383,0.2631,0.7807,0.1429,4,2,4,0.9,3,205.5705684970419,275.01949375628715
