Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
CPF,0.2321,0.1804,0.6713,0.4444,1,4,6,0.9,3,136.38787774170845,165.0365223665746
ICRB,0.2355,0.1897,0.4053,0.4444,1,4,6,0.9,3,136.38787774170845,165.0365223665746
STO,0.2435,0.1801,0.6819,0.2222,1,4,6,0.9,3,136.38787774170845,165.0365223665746
Rand,0.2421,0.1827,0.6033,0.5556,1,4,6,0.9,3,136.38787774170845,165.0365223665746
CPF,0.2638,0.2006,0.583,0.2222,1,4,6,0.9,3,111.43571814204537,137.5836186577419
ICRB,0.2579,0.2083,0.4041,0.6667,1,4,6,0.9,3,111.43571814204537,137.5836186577419
STO,0.2557,0.1847,1.0,0.1111,1,4,6,0.9,3,111.43571814204537,137.5836186577419
Rand,0.2644,0.2028,0.5315,0.4444,1,4,6,0.9,3,111.43571814204537,137.5836186577419
CPF,0.4475,0.347,0.3399,0.4444,1,5,4,1.0,3,111.94362929863706,133.90124160890105
ICRB,0.422,0.3215,0.7722,0.4444,1,5,4,1.0,3,111.94362929863706,133.90124160890105
STO,0.454,0.3331,0.5677,0.1111,1,5,4,1.0,3,111.94362929863706,133.90124160890105
Rand,0.4536,0.3325,0.5781,0.5556,1,5,4,1.0,3,111.94362929863706,133.90124160890105
CPF,0.436,0.355,0.2016,0.3333,1,5,4,1.0,3,119.88142530807195,137.21165954140955
ICRB,0.4141,0.3366,0.5904,0.5556,1,5,4,1.0,3,119.88142530807195,137.21165954140955
STO,0.4436,0.3492,0.319,0.1111,1,5,4,1.0,3,119.88142530807195,137.21165954140955
Rand,0.431,0.3265,0.8213,0.5556,1,5,4,1.0,3,119.88142530807195,137.21165954140955
CPF,0.445,0.3504,0.212,0.3333,1,5,4,1.0,3,95.91257499750084,114.32880477229895
ICRB,0.4181,0.325,0.6364,0.3333,1,5,4,1.0,3,95.91257499750084,114.32880477229895
STO,0.4611,0.3391,0.393,0.1111,1,5,4,1.0,3,95.91257499750084,114.32880477229895
Rand,0.4176,0.3059,1.0,0.6667,1,5,4,1.0,3,95.91257499750084,114.32880477229895
CPF,0.3582,0.2728,0.6487,0.4444,1,6,4,0.95,3,127.57730095349552,154.04065394338514
ICRB,0.3633,0.2856,0.4038,0.4444,1,6,4,0.95,3,127.57730095349552,154.04065394338514
STO,0.3517,0.2651,0.8075,0.2222,1,6,4,0.95,3,127.57730095349552,154.04065394338514
Rand,0.3547,0.2652,0.8052,0.6667,1,6,4,0.95,3,127.57730095349552,154.04065394338514
CPF,0.3461,0.2487,0.7097,0.4444,1,6,4,0.95,3,131.42430456570955,167.79934603981167
ICRB,0.3455,0.2613,0.5013,0.7778,1,6,4,0.95,3,131.42430456570955,167.79934603981167
STO,0.3518,0.2445,0.7829,0.2222,1,6,4,0.95,3,131.42430456570955,167.79934603981167
Rand,0.3401,0.233,1.0,0.6667,1,6,4,0.95,3,131.42430456570955,167.79934603981167
CPF,0.4459,0.349,0.1437,0.3333,1,6,4,0.95,3,102.44246253090122,119.47911147368738
ICRB,0.4208,0.3202,0.6959,0.4444,1,6,4,0.95,3,102.44246253090122,119.47911147368738
STO,0.4488,0.3215,0.6702,0.1111,1,6,4,0.95,3,102.44246253090122,119.47911147368738
Rand,0.4435,0.3129,0.8524,0.5556,1,6,4,0.95,3,102.44246253090122,119.47911147368738
CPF,0.3513,0.2656,0.6136,0.3333,1,7,4,0.85,3,160.55813362109222,191.71484298280834
ICRB,0.3372,0.2644,0.6387,0.6667,1,7,4,0.85,3,160.55813362109222,191.71484298280834
STO,0.3569,0.2646,0.6343,0.1111,1,7,4,0.85,3,160.55813362109222,191.71484298280834
Rand,0.3523,0.2532,0.8948,0.6667,1,7,4,0.85,3,160.55813362109222,191.71484298280834
CPF,0.3883,0.2967,0.7049,0.3333,1,7,4,0.85,3,120.68685224393825,148.60925885202738
