Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Sched Time,gid,Case,Scheduling Algorithm
STO,0.4664,0.3323,0.8027,0.125,0.00856924057006836,0.0062503814697265625,1,1,CPOP
Rand,0.4928,0.3323,0.8027,0.625,0.00857400894165039,0.0062503814697265625,1,1,CPOP
CPF,0.4495,0.3407,0.4782,0.25,0.0060367584228515625,0.003423929214477539,1,1,HEFT
ICRB,0.4626,0.319,0.8292,0.25,0.005749940872192383,0.003423929214477539,1,1,HEFT
STO,0.4659,0.3271,0.6926,0.125,0.0054552555084228516,0.003423929214477539,1,1,HEFT
Rand,0.4583,0.3367,0.5394,0.625,0.007038593292236328,0.003423929214477539,1,1,HEFT
CPF,0.4495,0.3407,0.4782,0.25,0.009157419204711914,0.0036458969116210938,1,1,CPOP
ICRB,0.4626,0.319,0.8292,0.25,0.007405757904052734,0.0036458969116210938,1,1,CPOP
STO,0.4659,0.3271,0.6926,0.125,0.0065424442291259766,0.0036458969116210938,1,1,CPOP
Rand,0.4517,0.319,0.8292,0.375,0.005965709686279297,0.0036458969116210938,1,1,CPOP
CPF,0.484,0.3418,0.5009,0.25,0.008520126342773438,0.005842447280883789,1,1,HEFT
ICRB,0.4779,0.328,0.7042,0.375,0.008202314376831055,0.005842447280883789,1,1,HEFT
STO,0.474,0.3419,0.4991,0.125,0.008036375045776367,0.005842447280883789,1,1,HEFT
Rand,0.4698,0.3097,1.0,0.625,0.008073806762695312,0.005842447280883789,1,1,HEFT
CPF,0.484,0.3418,0.5009,0.25,0.006609678268432617,0.003763914108276367,1,1,CPOP
ICRB,0.4779,0.328,0.7042,0.375,0.009084463119506836,0.003763914108276367,1,1,CPOP
STO,0.474,0.3419,0.4991,0.125,0.0062296390533447266,0.003763914108276367,1,1,CPOP
Rand,0.4675,0.3283,0.6985,0.75,0.006715536117553711,0.003763914108276367,1,1,CPOP
CPF,0.5121,0.3517,0.5397,0.375,0.005560636520385742,0.0033016204833984375,1,1,HEFT
ICRB,0.5121,0.3517,0.5397,0.375,0.005349874496459961,0.0033016204833984375,1,1,HEFT
STO,0.4802,0.3292,0.8445,0.25,0.0053119659423828125,0.0033016204833984375,1,1,HEFT
Rand,0.4953,0.3187,1.0,0.625,0.0055599212646484375,0.0033016204833984375,1,1,HEFT
CPF,0.5442,0.3738,0.3755,0.375,0.006350517272949219,0.003668069839477539,1,1,CPOP
ICRB,0.5442,0.3738,0.3755,0.375,0.006114006042480469,0.003668069839477539,1,1,CPOP
STO,0.5083,0.3484,0.789,0.125,0.005796909332275391,0.003668069839477539,1,1,CPOP
Rand,0.5365,0.36,0.5924,0.25,0.008708000183105469,0.003668069839477539,1,1,CPOP
CPF,0.4908,0.3393,0.1768,0.25,0.0066721439361572266,0.003413677215576172,1,1,HEFT
ICRB,0.4817,0.3198,0.4383,0.375,0.006794929504394531,0.003413677215576172,1,1,HEFT
STO,0.4584,0.3,0.7385,0.0,0.006042957305908203,0.003413677215576172,1,1,HEFT
Rand,0.4468,0.3182,0.4617,0.875,0.005631446838378906,0.003413677215576172,1,1,HEFT
CPF,0.4908,0.3393,0.1768,0.25,0.008276224136352539,0.005562543869018555,1,1,CPOP
ICRB,0.4817,0.3198,0.4383,0.375,0.008066654205322266,0.005562543869018555,1,1,CPOP
STO,0.4584,0.3,0.7385,0.0,0.007817268371582031,0.005562543869018555,1,1,CPOP
Rand,0.4725,0.3,0.7385,0.875,0.008201122283935547,0.005562543869018555,1,1,CPOP
CPF,0.5006,0.3248,0.4435,0.375,0.010618209838867188,0.00696873664855957,1,1,HEFT
ICRB,0.5006,0.3248,0.4435,0.375,0.010514259338378906,0.00696873664855957,1,1,HEFT
STO,0.4739,0.305,0.7138,0.0,0.009679794311523438,0.00696873664855957,1,1,HEFT
Rand,0.4671,0.2865,1.0,0.625,0.00930476188659668,0.00696873664855957,1,1,HEFT
CPF,0.5006,0.3248,0.4435,0.375,0.011266946792602539,0.0057485103607177734,1,1,CPOP
ICRB,0.5006,0.3248,0.4435,0.375,0.008826732635498047,0.0057485103607177734,1,1,CPOP
STO,0.4739,0.305,0.7138,0.0,0.008748292922973633,0.0057485103607177734,1,1,CPOP
Rand,0.4752,0.3039,0.7296,0.375,0.009306669235229492,0.0057485103607177734,1,1,CPOP
CPF,0.4471,0.3323,0.7591,0.5,0.009446859359741211,0.005940914154052734,1,1,HEFT
ICRB,0.4627,0.3305,0.7933,0.375,0.008864402770996094,0.005940914154052734,1,1,HEFT
STO,0.4452,0.341,0.5967,0.375,0.008134126663208008,0.005940914154052734,1,1,HEFT
Rand,0.4501,0.3413,0.5924,0.5,0.008998870849609375,0.005940914154052734,1,1,HEFT
CPF,0.4575,0.3401,0.7184,0.5,0.007650613784790039,0.004328012466430664,1,1,CPOP
ICRB,0.4734,0.3382,0.7583,0.375,0.009551525115966797,0.004328012466430664,1,1,CPOP
STO,0.4452,0.341,0.6978,0.375,0.0066432952880859375,0.004328012466430664,1,1,CPOP
Rand,0.462,0.341,0.6978,0.875,0.006695747375488281,0.004328012466430664,1,1,CPOP
CPF,0.4646,0.2779,0.6549,0.625,0.007658481597900391,0.00413203239440918,1,1,HEFT
ICRB,0.4485,0.2756,0.6858,0.5,0.007518291473388672,0.00413203239440918,1,1,HEFT
STO,0.4747,0.2697,0.7695,0.25,0.00629115104675293,0.00413203239440918,1,1,HEFT
Rand,0.4736,0.2676,0.8003,0.625,0.0068264007568359375,0.00413203239440918,1,1,HEFT
CPF,0.4646,0.2779,0.7396,0.625,0.008534431457519531,0.004744291305541992,1,1,CPOP
ICRB,0.4485,0.2756,0.7745,0.5,0.009708881378173828,0.004744291305541992,1,1,CPOP
STO,0.489,0.2779,0.7396,0.25,0.007550954818725586,0.004744291305541992,1,1,CPOP
Rand,0.4895,0.2786,0.7281,0.75,0.007468223571777344,0.004744291305541992,1,1,CPOP
CPF,0.4536,0.3561,0.1689,0.25,0.006076335906982422,0.003503561019897461,1,1,HEFT
ICRB,0.4448,0.33,0.6819,0.375,0.0058858394622802734,0.003503561019897461,1,1,HEFT
STO,0.4349,0.3272,0.7411,0.125,0.006303071975708008,0.003503561019897461,1,1,HEFT
Rand,0.4363,0.3272,0.7411,0.75,0.005833864212036133,0.003503561019897461,1,1,HEFT
CPF,0.4536,0.3561,0.1689,0.25,0.007441997528076172,0.004641532897949219,1,1,CPOP
ICRB,0.4448,0.33,0.6819,0.375,0.007630348205566406,0.004641532897949219,1,1,CPOP
STO,0.4349,0.3272,0.7411,0.125,0.007496356964111328,0.004641532897949219,1,1,CPOP
Rand,0.448,0.3394,0.4869,1.0,0.007731199264526367,0.004641532897949219,1,1,CPOP
CPF,0.4552,0.3459,0.4686,0.5,0.009377002716064453,0.00642085075378418,1,1,HEFT
ICRB,0.4674,0.3459,0.4686,0.375,0.009531736373901367,0.00642085075378418,1,1,HEFT
STO,0.4638,0.3367,0.6538,0.125,0.010554313659667969,0.00642085075378418,1,1,HEFT
Rand,0.4499,0.3367,0.6538,0.5,0.011095762252807617,0.00642085075378418,1,1,HEFT
CPF,0.4552,0.3459,0.4686,0.5,0.008187294006347656,0.003887653350830078,1,1,CPOP
ICRB,0.4674,0.3459,0.4686,0.375,0.006878852844238281,0.003887653350830078,1,1,CPOP
STO,0.4638,0.3367,0.6538,0.125,0.006148099899291992,0.003887653350830078,1,1,CPOP
Rand,0.4638,0.3367,0.6538,0.75,0.006222963333129883,0.003887653350830078,1,1,CPOP
CPF,0.4734,0.3338,0.6457,0.375,0.007941961288452148,0.004721403121948242,1,1,HEFT
ICRB,0.4734,0.3338,0.6457,0.25,0.00789189338684082,0.004721403121948242,1,1,HEFT
STO,0.4406,0.3297,0.7284,0.125,0.008900642395019531,0.004721403121948242,1,1,HEFT
Rand,0.4364,0.3169,1.0,0.625,0.0071260929107666016,0.004721403121948242,1,1,HEFT
CPF,0.4734,0.3338,0.6457,0.375,0.00664973258972168,0.003966569900512695,1,1,CPOP
ICRB,0.4734,0.3338,0.6457,0.25,0.00641322135925293,0.003966569900512695,1,1,CPOP
STO,0.4406,0.3297,0.7284,0.125,0.0065729618072509766,0.003966569900512695,1,1,CPOP
Rand,0.4512,0.3169,1.0,0.75,0.006532192230224609,0.003966569900512695,1,1,CPOP
CPF,0.4584,0.3098,0.4612,0.25,0.006161928176879883,0.0036096572875976562,1,1,HEFT
ICRB,0.4525,0.295,0.7247,0.25,0.006145000457763672,0.0036096572875976562,1,1,HEFT
