Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Heft Time,gid,Case
Rand,0.4034,0.2509,0.7439,0.7778,0.0048520565032958984,0.0030477046966552734,1,3
SFE,0.0,0.0,0.1618,0.1111,0.0,0.0,1,3
SFD,0.0,0.0,0.1618,0.1111,0.0,0.0,1,3
CPF,0.2973,0.1778,0.4777,0.3333,0.005344867706298828,0.0032541751861572266,1,4
ICRB,0.2875,0.1776,0.4806,0.6667,0.0051920413970947266,0.0032541751861572266,1,4
STO,0.3247,0.1786,0.4645,0.2222,0.005057334899902344,0.0032541751861572266,1,4
Rand,0.3012,0.1562,0.877,0.6667,0.005089998245239258,0.0032541751861572266,1,4
SFE,0.0,0.0,0.1319,0.1111,0.0,0.0,1,4
SFD,0.0,0.0,0.1319,0.1111,0.0,0.0,1,4
CPF,0.4191,0.2599,0.7885,0.625,0.004962444305419922,0.0028905868530273438,1,5
ICRB,0.409,0.2477,1.0,0.5,0.004770517349243164,0.0028905868530273438,1,5
STO,0.4228,0.2477,1.0,0.125,0.00459742546081543,0.0028905868530273438,1,5
Rand,0.4196,0.2624,0.7479,0.75,0.004636049270629883,0.0028905868530273438,1,5
SFE,0.0,0.0,0.1405,0.375,0.0,0.0,1,5
SFD,0.0,0.0,1.0,0.0,0.0,0.0,1,5
CPF,0.4574,0.309,0.4116,0.5556,0.005013942718505859,0.002981424331665039,1,6
ICRB,0.4574,0.309,0.4116,0.4444,0.004864931106567383,0.002981424331665039,1,6
STO,0.4485,0.2819,0.6928,0.2222,0.004689693450927734,0.002981424331665039,1,6
Rand,0.466,0.2873,0.6322,0.6667,0.004792213439941406,0.002981424331665039,1,6
SFE,0.0,0.0,0.4116,0.5556,0.0,0.0,1,6
SFD,0.0,0.0,0.6928,0.2222,0.0,0.0,1,6
CPF,0.5018,0.3014,0.3045,0.3,0.004972934722900391,0.0029022693634033203,1,7
ICRB,0.4465,0.2758,0.6105,0.2,0.004787921905517578,0.0029022693634033203,1,7
STO,0.4993,0.2758,0.6105,0.1,0.004621744155883789,0.0029022693634033203,1,7
Rand,0.4595,0.2607,0.8205,0.6,0.004693031311035156,0.0029022693634033203,1,7
SFE,0.0,0.0,0.1652,0.2,0.0,0.0,1,7
SFD,0.0,0.0,0.6105,0.1,0.0,0.0,1,7
CPF,0.4144,0.3019,0.4681,0.5,0.004936933517456055,0.0029153823852539062,1,8
ICRB,0.409,0.279,0.7936,0.1,0.004700422286987305,0.0029153823852539062,1,8
STO,0.4429,0.3099,0.3664,0.0,0.004549503326416016,0.0029153823852539062,1,8
Rand,0.438,0.2886,0.6514,0.4,0.004625082015991211,0.0029153823852539062,1,8
SFE,0.0,0.0,0.2338,0.0,0.0,0.0,1,8
SFD,0.0,0.0,0.2338,0.0,0.0,0.0,1,8
CPF,0.783,0.5753,0.3684,0.5556,0.004567146301269531,0.0025534629821777344,1,0
ICRB,0.7719,0.5888,0.2873,0.7778,0.004395484924316406,0.0025534629821777344,1,0
STO,0.8037,0.5327,0.65,0.2222,0.004209280014038086,0.0025534629821777344,1,0
Rand,0.7804,0.4953,0.9373,0.7778,0.004267692565917969,0.0025534629821777344,1,0
SFE,0.0,0.0,0.27,0.5556,0.0,0.0,1,0
SFD,0.0,0.0,0.65,0.2222,0.0,0.0,1,0
CPF,0.6057,0.415,0.4102,0.2222,0.004785060882568359,0.002756834030151367,1,1
ICRB,0.5818,0.4105,0.4417,0.3333,0.0045833587646484375,0.002756834030151367,1,1
STO,0.6066,0.3968,0.5408,0.1111,0.004437685012817383,0.002756834030151367,1,1
Rand,0.562,0.3779,0.6899,0.3333,0.004449367523193359,0.002756834030151367,1,1
SFE,0.0,0.0,0.3538,0.4444,0.0,0.0,1,1
SFD,0.0,0.0,0.5408,0.1111,0.0,0.0,1,1
CPF,0.4508,0.3043,0.3656,0.5556,0.00471949577331543,0.002730846405029297,1,2
ICRB,0.4311,0.302,0.3918,0.2222,0.004513740539550781,0.002730846405029297,1,2
STO,0.4687,0.2934,0.4925,0.1111,0.0043680667877197266,0.002730846405029297,1,2
Rand,0.4349,0.2811,0.6471,0.6667,0.004412174224853516,0.002730846405029297,1,2
SFE,0.0,0.0,0.3372,0.2222,0.0,0.0,1,2
SFD,0.0,0.0,0.4925,0.1111,0.0,0.0,1,2
CPF,0.3322,0.2146,0.2219,0.2222,0.0051746368408203125,0.0030515193939208984,1,3
ICRB,0.3,0.1871,0.7871,0.5556,0.0049533843994140625,0.0030515193939208984,1,3
STO,0.3187,0.1922,0.6703,0.0,0.004773616790771484,0.0030515193939208984,1,3
Rand,0.3142,0.1875,0.7781,0.6667,0.0048828125,0.0030515193939208984,1,3
SFE,0.0,0.0,0.2219,0.2222,0.0,0.0,1,3
SFD,0.0,0.0,0.6703,0.0,0.0,0.0,1,3
CPF,0.2664,0.1591,0.7419,0.2222,0.0052754878997802734,0.0032148361206054688,1,4
ICRB,0.26,0.1591,0.7419,0.5556,0.0051517486572265625,0.0032148361206054688,1,4
STO,0.2887,0.1792,0.2581,0.3333,0.004991769790649414,0.0032148361206054688,1,4
Rand,0.2709,0.1568,0.8041,0.5556,0.005025625228881836,0.0032148361206054688,1,4
SFE,0.0,0.0,0.1959,0.3333,0.0,0.0,1,4
SFD,0.0,0.0,0.4539,0.1111,0.0,0.0,1,4
CPF,0.4166,0.2892,0.6081,0.375,0.005243778228759766,0.00331878662109375,1,5
ICRB,0.4069,0.276,0.8484,0.5,0.005099296569824219,0.00331878662109375,1,5
STO,0.4211,0.2938,0.529,0.0,0.004952669143676758,0.00331878662109375,1,5
Rand,0.4338,0.2897,0.6003,0.875,0.0049817562103271484,0.00331878662109375,1,5
SFE,0.0,0.0,0.2403,0.125,0.0,0.0,1,5
SFD,0.0,0.0,0.529,0.0,0.0,0.0,1,5
CPF,0.4618,0.2734,0.2511,0.5556,0.006345510482788086,0.004166126251220703,1,6
ICRB,0.4048,0.248,0.6019,0.3333,0.006067752838134766,0.004166126251220703,1,6
STO,0.409,0.2462,0.6283,0.0,0.005912303924560547,0.004166126251220703,1,6
Rand,0.3992,0.2243,1.0,0.6667,0.005959510803222656,0.004166126251220703,1,6
SFE,0.0,0.0,0.2511,0.5556,0.0,0.0,1,6
SFD,0.0,0.0,0.6283,0.0,0.0,0.0,1,6
CPF,0.393,0.2796,0.1937,0.6,0.004967451095581055,0.002897024154663086,1,7
ICRB,0.3626,0.2603,0.6362,0.2,0.0047757625579833984,0.002897024154663086,1,7
STO,0.406,0.2603,0.6362,0.2,0.004624366760253906,0.002897024154663086,1,7
Rand,0.4114,0.2535,0.8063,0.3,0.004654884338378906,0.002897024154663086,1,7
SFE,0.0,0.0,0.1937,0.6,0.0,0.0,1,7
SFD,0.0,0.0,0.6362,0.2,0.0,0.0,1,7
CPF,0.3643,0.2562,0.596,0.4,0.004979372024536133,0.0028846263885498047,1,8
ICRB,0.3585,0.2582,0.558,0.6,0.004772186279296875,0.0028846263885498047,1,8
STO,0.3768,0.2562,0.596,0.2,0.004596233367919922,0.0028846263885498047,1,8
Rand,0.3875,0.255,0.6191,0.5,0.0046885013580322266,0.0028846263885498047,1,8
SFE,0.0,0.0,0.1912,0.4,0.0,0.0,1,8
SFD,0.0,0.0,0.596,0.2,0.0,0.0,1,8
CPF,0.7663,0.4461,0.3999,0.4444,0.0046231746673583984,0.0025687217712402344,1,0
ICRB,0.713,0.4126,0.5943,0.4444,0.004424095153808594,0.0025687217712402344,1,0
STO,0.6975,0.3951,0.7092,0.1111,0.004239797592163086,0.0025687217712402344,1,0
Rand,0.7353,0.4202,0.5478,0.5556,0.0042688846588134766,0.0025687217712402344,1,0
SFE,0.0,0.0,0.3999,0.4444,0.0,0.0,1,0
SFD,0.0,0.0,0.7092,0.1111,0.0,0.0,1,0
CPF,0.5808,0.3949,0.2362,0.4444,0.004734992980957031,0.002714395523071289,1,1
ICRB,0.5458,0.3642,0.5095,0.3333,0.004557609558105469,0.002714395523071289,1,1
STO,0.6015,0.3509,0.6439,0.1111,0.004397153854370117,0.002714395523071289,1,1
Rand,0.5515,0.3197,1.0,0.4444,0.0044596195220947266,0.002714395523071289,1,1
SFE,0.0,0.0,0.2362,0.4444,0.0,0.0,1,1
SFD,0.0,0.0,0.4905,0.0,0.0,0.0,1,1
CPF,0.3975,0.2795,0.6362,0.3333,0.004689931869506836,0.0027484893798828125,1,2
ICRB,0.3995,0.2845,0.548,0.3333,0.004553318023681641,0.0027484893798828125,1,2
STO,0.4001,0.2675,0.8664,0.1111,0.004403114318847656,0.0027484893798828125,1,2
Rand,0.4241,0.2808,0.6134,0.7778,0.004437685012817383,0.0027484893798828125,1,2
SFE,0.0,0.0,0.4144,0.4444,0.0,0.0,1,2
SFD,0.0,0.0,1.0,0.1111,0.0,0.0,1,2
CPF,0.389,0.2246,0.2063,0.2222,0.005204200744628906,0.003063201904296875,1,3
ICRB,0.339,0.1917,0.8704,0.4444,0.005002498626708984,0.003063201904296875,1,3
STO,0.3852,0.2047,0.5836,0.1111,0.0048542022705078125,0.003063201904296875,1,3
Rand,0.352,0.1924,0.8531,0.7778,0.0048809051513671875,0.003063201904296875,1,3
SFE,0.0,0.0,0.1296,0.2222,0.0,0.0,1,3
SFD,0.0,0.0,0.5836,0.1111,0.0,0.0,1,3
CPF,0.2786,0.1802,0.4906,0.2222,0.005569934844970703,0.003428220748901367,1,4
ICRB,0.2801,0.1826,0.4536,0.1111,0.005402326583862305,0.003428220748901367,1,4
STO,0.2873,0.1802,0.4908,0.0,0.005219697952270508,0.003428220748901367,1,4
Rand,0.2827,0.1595,0.8586,0.5556,0.005274534225463867,0.003428220748901367,1,4
SFE,0.0,0.0,0.4536,0.1111,0.0,0.0,1,4
SFD,0.0,0.0,0.4908,0.0,0.0,0.0,1,4
CPF,0.4798,0.2922,0.629,0.375,0.004957675933837891,0.0029325485229492188,1,5
ICRB,0.4639,0.2737,0.8736,0.375,0.004826068878173828,0.0029325485229492188,1,5
STO,0.4995,0.2651,1.0,0.25,0.00467228889465332,0.0029325485229492188,1,5
Rand,0.4995,0.2651,1.0,0.75,0.0047075748443603516,0.0029325485229492188,1,5
SFE,0.0,0.0,0.2885,0.625,0.0,0.0,1,5
SFD,0.0,0.0,1.0,0.25,0.0,0.0,1,5
CPF,0.4153,0.3033,0.1881,0.3333,0.0063323974609375,0.004161357879638672,1,6
ICRB,0.3902,0.2761,0.6003,0.4444,0.0060613155364990234,0.004161357879638672,1,6
STO,0.432,0.291,0.3644,0.0,0.0059206485748291016,0.004161357879638672,1,6
Rand,0.4125,0.2619,0.8491,0.4444,0.005975484848022461,0.004161357879638672,1,6
SFE,0.0,0.0,0.1881,0.3333,0.0,0.0,1,6
SFD,0.0,0.0,0.3644,0.0,0.0,0.0,1,6
CPF,0.4522,0.323,0.2305,0.3,0.004988193511962891,0.002926349639892578,1,7
ICRB,0.4082,0.2901,0.6503,0.4,0.0048274993896484375,0.002926349639892578,1,7
STO,0.4527,0.3121,0.359,0.2,0.004734516143798828,0.002926349639892578,1,7
Rand,0.4282,0.2863,0.7055,0.6,0.004791736602783203,0.002926349639892578,1,7
SFE,0.0,0.0,0.2305,0.2,0.0,0.0,1,7
SFD,0.0,0.0,0.3092,0.1,0.0,0.0,1,7
CPF,0.426,0.2865,0.3707,0.5,0.00500798225402832,0.0028960704803466797,1,8
ICRB,0.4018,0.2805,0.441,0.2,0.004774808883666992,0.0028960704803466797,1,8
STO,0.4122,0.2681,0.5953,0.1,0.00463104248046875,0.0028960704803466797,1,8
Rand,0.4194,0.2402,1.0,0.2,0.004693746566772461,0.0028960704803466797,1,8
SFE,0.0,0.0,0.3707,0.5,0.0,0.0,1,8
SFD,0.0,0.0,0.441,0.1,0.0,0.0,1,8
CPF,0.7884,0.5315,0.3819,0.4444,0.004584789276123047,0.0025968551635742188,1,0
ICRB,0.7432,0.5195,0.4706,0.6667,0.00440669059753418,0.0025968551635742188,1,0
STO,0.7833,0.4923,0.6871,0.1111,0.0042459964752197266,0.0025968551635742188,1,0
Rand,0.7832,0.4922,0.6884,0.8889,0.004305601119995117,0.0025968551635742188,1,0
SFE,0.0,0.0,0.2829,0.4444,0.0,0.0,1,0
SFD,0.0,0.0,0.5091,0.1111,0.0,0.0,1,0
CPF,0.6479,0.4744,0.3846,0.2222,0.004749298095703125,0.0027909278869628906,1,1
ICRB,0.6388,0.4607,0.5094,0.2222,0.0046308040618896484,0.0027909278869628906,1,1
STO,0.691,0.4676,0.4456,0.1111,0.004469871520996094,0.0027909278869628906,1,1
Rand,0.6371,0.4138,1.0,0.6667,0.004542350769042969,0.0027909278869628906,1,1
SFE,0.0,0.0,0.2497,0.4444,0.0,0.0,1,1
SFD,0.0,0.0,0.4906,0.0,0.0,0.0,1,1
CPF,0.3898,0.2458,0.7616,0.7778,0.004960775375366211,0.0028858184814453125,1,2
