,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
42,CPF,0.6273,5.0,1,0,2,0.9,3,144.05379089125634,174.81438246931293
43,CPF,0.5129,10.0,1,0,2,0.9,3,141.9098998400507,175.0981150213968
44,CPF,0.4767,5.0,1,0,2,0.9,3,131.2094347410288,166.9926082647975
45,CPF,0.5029,5.0,1,0,2,0.9,3,139.73758170021242,178.86424467672958
46,CPF,0.6255,5.0,1,0,2,0.9,3,135.496724976174,172.8508340873239
47,CPF,0.4414,7.0,1,0,2,0.9,3,148.03634144293372,169.49435394275122
48,CPF,0.841,5.0,1,0,2,0.9,3,167.29922027698092,197.40265651197439
49,CPF,0.5827,6.0,1,0,2,0.9,3,146.9292226295859,189.37025718142698
50,CPF,0.546,8.0,1,0,2,0.9,3,128.62861552481812,165.19438154452916
51,CPF,0.7218,7.0,1,0,2,0.9,3,188.42298877024993,225.31433944311212
52,CPF,0.4108,6.0,1,0,2,0.9,3,113.09212902693874,135.14915857235877
53,CPF,0.5296,8.0,1,0,2,0.9,3,151.06628036362446,189.1889830190724
54,CPF,0.3176,7.0,1,0,2,0.9,3,117.34432301254385,151.5351950703931
55,CPF,0.5077,9.0,1,0,2,0.9,3,155.50355642693316,192.88852573072487
56,CPF,0.6708,6.0,1,0,2,0.9,3,161.25385382814844,199.2730215359537
57,CPF,0.7127,8.0,1,0,2,0.9,3,164.1198992780228,202.8086495194612
58,CPF,0.6727,7.0,1,0,2,0.9,3,147.88691499255094,189.80585674492121
59,CPF,0.5831,7.0,1,0,2,0.9,3,154.62373425717854,194.68739931051695
60,CPF,0.6589,5.0,1,0,2,0.9,3,134.59379761455904,178.5995903976234
61,CPF,0.6528,7.0,1,0,2,0.9,3,126.30556001319181,151.1106881915237
62,CPF,0.5717,5.0,1,0,2,0.9,3,140.95604828716245,187.26376198192287
63,CPF,0.5137,7.0,1,0,2,0.9,3,127.29406912530798,159.23105449753925
64,CPF,0.5652,5.0,1,0,2,0.9,3,144.51284685883056,184.86932249756455
65,CPF,0.7436,7.0,1,0,2,0.9,3,161.66201342430975,201.85149996414236
66,CPF,0.5653,6.0,1,0,2,0.9,3,166.8923965888776,203.00643530767383
67,CPF,0.5029,5.0,1,0,2,0.9,3,129.4814167955305,159.97511363317872
68,CPF,0.4518,4.0,1,0,2,0.9,3,146.3995264120773,177.8201151946254
69,CPF,0.5935,9.0,1,0,2,0.9,3,139.50883252539833,184.07154546869518
70,CPF,0.4921,8.0,1,0,2,0.9,3,129.58246267419753,166.41930432050071
71,CPF,0.7171,8.0,1,0,2,0.9,3,119.26746936337253,147.38134007356342
72,CPF,0.5828,5.0,1,0,2,0.9,3,139.30120070066755,175.50458449062802
73,CPF,0.2394,5.0,1,0,2,0.9,3,144.7757216873124,173.631184686444
74,CPF,0.5833,6.0,1,0,2,0.9,3,143.58484829510033,181.16371762267806
75,CPF,0.8027,6.0,1,0,2,0.9,3,147.42569786447493,188.25961982744062
76,CPF,0.519,7.0,1,0,2,0.9,3,119.2999484044064,147.8915883057581
77,CPF,0.6141,6.0,1,0,2,0.9,3,126.41822821891307,161.45506377885135
78,CPF,0.5665,7.0,1,0,2,0.9,3,155.1656087076728,194.22974529512385
79,CPF,0.6266,7.0,1,0,2,0.9,3,135.67301027180443,176.22986578114848
80,CPF,0.7087,6.0,1,0,2,0.9,3,151.41988627555912,199.80280323517567
81,CPF,0.3376,10.0,1,0,2,0.9,3,142.51335057828777,175.55426201735781
82,CPF,0.4924,9.0,1,0,2,0.9,3,133.27509942460168,152.09769944858243
83,CPF,0.7057,6.0,1,0,2,0.9,3,131.8408723346542,161.81349638399593
